,k,loss,p
104,5.0,0.9323333333333333,6.0
105,6.0,0.9356666666666666,6.0
106,7.0,0.9276666666666666,6.0
107,8.0,0.928,6.0
108,9.0,0.9253333333333333,6.0
109,10.0,0.9286666666666666,6.0
110,11.0,0.9266666666666666,6.0
111,12.0,0.9273333333333333,6.0
112,13.0,0.9216666666666666,6.0
113,14.0,0.923,6.0
114,15.0,0.918,6.0
115,16.0,0.9196666666666666,6.0
116,17.0,0.9173333333333333,6.0
117,18.0,0.9156666666666666,6.0
118,19.0,0.9163333333333333,6.0
119,20.0,0.9133333333333333,6.0
120,1.0,0.929,7.0
121,2.0,0.929,7.0
122,3.0,0.9416666666666667,7.0
123,4.0,0.9376666666666666,7.0
124,5.0,0.934,7.0
125,6.0,0.9353333333333333,7.0
126,7.0,0.9293333333333333,7.0
127,8.0,0.931,7.0
128,9.0,0.9263333333333333,7.0
129,10.0,0.9293333333333333,7.0
130,11.0,0.925,7.0
131,12.0,0.9276666666666666,7.0
132,13.0,0.923,7.0
133,14.0,0.9216666666666666,7.0
134,15.0,0.9193333333333333,7.0
135,16.0,0.9203333333333333,7.0
136,17.0,0.918,7.0
137,18.0,0.919,7.0
138,19.0,0.916,7.0
139,20.0,0.9136666666666666,7.0
140,1.0,0.9306666666666666,8.0
141,2.0,0.9306666666666666,8.0
142,3.0,0.9423333333333334,8.0
143,4.0,0.9376666666666666,8.0
144,5.0,0.935,8.0
145,6.0,0.937,8.0
146,7.0,0.9296666666666666,8.0
147,8.0,0.9316666666666666,8.0
148,9.0,0.928,8.0
149,10.0,0.932,8.0
150,11.0,0.928,8.0
151,12.0,0.929,8.0
152,13.0,0.925,8.0
153,14.0,0.924,8.0
154,15.0,0.922,8.0
155,16.0,0.921,8.0
156,17.0,0.919,8.0
157,18.0,0.9186666666666666,8.0
158,19.0,0.915,8.0
159,20.0,0.9133333333333333,8.0
160,1.0,0.9306666666666666,9.0
161,2.0,0.9306666666666666,9.0
162,3.0,0.942,9.0
163,4.0,0.938,9.0
164,5.0,0.9353333333333333,9.0
165,6.0,0.9363333333333334,9.0
166,7.0,0.9283333333333333,9.0
167,8.0,0.933,9.0
168,9.0,0.9296666666666666,9.0
169,10.0,0.9316666666666666,9.0
170,11.0,0.9253333333333333,9.0
171,12.0,0.9296666666666666,9.0
172,13.0,0.9246666666666666,9.0
173,14.0,0.9243333333333333,9.0
174,15.0,0.9236666666666666,9.0
175,16.0,0.921,9.0
176,17.0,0.919,9.0
177,18.0,0.9193333333333333,9.0
178,19.0,0.9156666666666666,9.0
179,20.0,0.9143333333333333,9.0
180,1.0,0.9296666666666666,10.0
181,2.0,0.9296666666666666,10.0
182,3.0,0.941,10.0
183,4.0,0.938,10.0
184,5.0,0.9343333333333333,10.0
185,6.0,0.9373333333333334,10.0
186,7.0,0.9293333333333333,10.0
187,8.0,0.9333333333333333,10.0
188,9.0,0.9296666666666666,10.0
189,10.0,0.9306666666666666,10.0
190,11.0,0.9253333333333333,10.0
191,12.0,0.9296666666666666,10.0
192,13.0,0.9256666666666666,10.0
193,14.0,0.926,10.0
194,15.0,0.9223333333333333,10.0
195,16.0,0.921,10.0
196,17.0,0.9216666666666666,10.0
197,18.0,0.9193333333333333,10.0
198,19.0,0.916,10.0
199,20.0,0.9153333333333333,10.0
200,1.0,0.9283333333333333,11.0
201,2.0,0.9283333333333333,11.0
